Defect Item no.,Defect mode,Defect code,Defect by process,Type
1,DMode1,10,process1,After Day
2,DMode2,10,process2,Before Day
3,DMode3,10,process3,After Day
4,DMode4,10,process4,After Day
5,DMode5,10,process4,After Day
6,DMode6,10,process4,After Day
7,DMode7,10,process4,After Day
8,DMode8,10,process3,After Day
9,DMode9,10,process3,After Day
10,DMode10,10,process3,After Day
11,DMode11,10,process3,After Day
12,DMode12,10,process3,After Day
13,DMode13,11,process3,After Day
14,DMode14,11,process1,After Day
15,DMode15,11,process1,After Day
16,DMode16,11,process1,After Day
17,DMode17,11,process1,After Day
18,DMode18,11,process1,After Day
19,DMode19,11,process1,After Day
20,DMode20,11,process2,After Day
21,DMode21,11,process2,Before Day
22,DMode22,11,process2,Before Day
23,DMode23,12,process2,Before Day
24,DMode24,12,process2,Before Day
25,DMode25,12,process2,Before Day
26,DMode26,12,process2,Before Day
27,DMode27,12,process2,Before Day
28,DMode28,12,process2,Before Day
29,DMode29,12,process3,Before Day
30,DMode30,12,process3,Before Day
31,DMode31,12,process3,Before Day
32,DMode32,12,process3,Before Day
33,DMode33,12,process3,Before Day
34,DMode34,13,process4,Before Day
35,DMode35,13,process4,Before Day
36,DMode36,13,process4,Before Day
37,DMode37,13,process1,After Day
38,DMode38,13,process2,Before Day
39,DMode39,13,process3,Before Day
40,DMode40,13,process4,Before Day
41,DMode41,13,process4,Before Day
42,DMode42,13,process4,Before Day
43,DMode43,13,process4,Before Day
44,DMode44,13,process4,Before Day
45,DMode45,14,process4,After Day
46,DMode46,14,process3,After Day
47,DMode47,14,process3,After Day
48,DMode48,14,process3,After Day
49,DMode49,14,process3,After Day
50,DMode50,14,process3,After Day
51,DMode51,14,process3,After Day
52,DMode52,14,process4,After Day
53,DMode53,14,process4,After Day
54,DMode54,14,process4,After Day
55,DMode55,14,process3,After Day
56,DMode56,15,process4,Before Day
57,DMode57,15,process3,Before Day
58,DMode58,15,process4,After Day
59,DMode59,15,process3,Before Day
60,DMode60,15,process3,After Day
61,DMode61,15,process3,After Day
62,DMode62,15,process1,Before Day
63,DMode63,15,process1,Before Day
64,DMode64,15,process1,Before Day
65,DMode65,15,process1,Before Day
66,DMode66,15,process2,After Day
67,DMode67,15,process2,After Day
68,DMode68,12,process2,After Day
69,DMode69,13,process2,Before Day
70,DMode70,11,process2,Before Day
71,DMode71,10,process2,Before Day
