No.,Part no.,Model,P/H Top,Die List[P/H Top],P/H Btm,Die List[P/H Btm],T/H Top,T/H Btm
1,TG000000-0001,Model1,TG123456-0001,F,TG123456-1234,R,TG123455-2222,TG123455-5432
2,TG000000-0002,Model2,TG123456-0002,F,TG123456-1235,R,TG123455-2223,TG123455-5433
3,TG000000-0003,Model3,TG123456-0003,R,TG123456-1236,R,TG123455-2224,TG123455-5434
4,TG000000-0004,Model4,TG123456-0004,F,TG123456-1237,R,TG123455-2225,TG123455-5435
5,TG000000-0005,Model5,TG123456-0005,F,TG123456-1238,R,TG123455-2226,TG123455-5436
6,TG000000-0006,Model6,TG123456-0006,R,TG123456-1239,R,TG123455-2227,TG123455-5437
7,TG000000-0007,Model7,TG123456-0001,F,TG123456-1240,R,TG123455-2228,TG123455-5438
8,TG000000-0008,Model8,TG123456-0002,F,TG123456-1241,R,TG123455-2229,TG123455-5439
9,TG000000-0009,Model9,TG123456-0003,F,TG123456-1242,R,TG123455-2230,TG123455-5440
10,TG000000-0010,Model10,TG123456-0004,R,TG123456-1243,F,TG123455-2231,TG123455-5441
11,TG000000-0011,Model11,TG123456-0005,R,TG123456-1244,F,TG123455-2232,TG123455-5442
12,TG000000-0012,Model12,TG123456-0006,R,TG123456-1245,F,TG123455-2233,TG123455-5443
13,TG000000-0013,Model13,TG123456-0001,R,TG123456-1246,R,TG123455-2234,TG123455-5444
14,TG000000-0014,Model14,TG123456-0002,R,TG123456-1235,R,TG123455-2235,TG123455-5445
15,TG000000-0015,Model15,TG123456-0003,R,TG123456-1236,R,TG123455-2236,TG123455-5446
16,TG000000-0016,Model16,TG123456-0004,R,TG123456-1237,R,TG123455-2237,TG123455-5447
17,TG000000-0017,Model17,TG123456-0005,F,TG123456-1238,R,TG123455-2238,TG123455-5448
18,TG000000-0018,Model18,TG123456-0006,R,TG123456-1239,R,TG123455-2239,TG123455-5449
19,TG000000-0019,Model19,TG123456-0001,F,TG123456-1234,R,TG123455-2222,TG123455-5450
20,TG000000-0020,Model20,TG123456-0002,F,TG123456-1235,F,TG123455-2223,TG123455-5451
21,TG000000-0021,Model21,TG123456-0003,R,TG123456-1236,R,TG123455-2224,TG123455-5452
22,TG000000-0022,Model22,TG123456-0004,F,TG123456-1237,F,TG123455-2225,TG123455-5453
23,TG000000-0023,Model23,TG123456-0005,F,TG123456-1238,F,TG123455-2226,TG123455-5454
24,TG000000-0024,Model24,TG123456-0006,F,TG123456-1239,F,TG123455-2227,TG123455-5455
25,TG000000-0025,Model25,TG123456-0001,R,TG123456-1234,F,TG123455-2228,TG123455-5456
26,TG000000-0026,Model26,TG123456-0002,R,TG123456-1235,F,TG123455-2229,TG123455-5457
27,TG000000-0027,Model27,TG123456-0003,R,TG123456-1236,F,TG123455-2230,TG123455-5458
28,TG000000-0028,Model28,TG123456-0004,R,TG123456-1237,F,TG123455-2231,TG123455-5459
29,TG000000-0029,Model29,TG123456-0005,R,TG123456-1238,R,TG123455-2232,TG123455-5460
30,TG000000-0030,Model30,TG123456-0006,R,TG123456-1239,F,TG123455-2233,TG123455-5461
31,TG000000-0031,Model31,TG123456-0001,R,TG123456-1234,F,TG123455-2234,TG123455-5462
32,TG000000-0032,Model32,TG123456-0002,F,TG123456-1235,F,TG123455-2235,TG123455-5463
33,TG000000-0033,Model33,TG123456-0003,R,TG123456-1236,R,TG123455-2236,TG123455-5464
34,TG000000-0034,Model34,TG123456-0004,F,TG123456-1237,R,TG123455-2237,TG123455-5465
35,TG000000-0035,Model35,TG123456-0005,F,TG123456-1238,R,TG123455-2238,TG123455-5466
36,TG000000-0036,Model36,TG123456-0006,R,TG123456-1239,R,TG123455-2239,TG123455-5467
37,TG000000-0037,Model37,TG123456-0001,R,TG123456-1234,R,TG123455-2222,TG123455-5468
38,TG000000-0038,Model38,TG123456-0002,F,TG123456-1235,F,TG123455-2223,TG123455-5469
39,TG000000-0039,Model39,TG123456-0003,R,TG123456-1236,F,TG123455-2224,TG123455-5470
40,TG000000-0040,Model40,TG123456-0004,F,TG123456-1237,F,TG123455-2225,TG123455-5471
41,TG000000-0041,Model41,TG123456-0005,R,TG123456-1238,R,TG123455-2226,TG123455-5472
42,TG000000-0042,Model42,TG123456-0006,F,TG123456-1239,R,TG123455-2227,TG123455-5473
43,TG000000-0043,Model43,TG123456-0001,R,TG123456-1234,R,TG123455-2228,TG123455-5474
44,TG000000-0044,Model44,TG123456-0002,F,TG123456-1235,F,TG123455-2229,TG123455-5475
45,TG000000-0045,Model45,TG123456-0003,R,TG123456-1236,F,TG123455-2230,TG123455-5476
46,TG000000-0046,Model46,TG123456-0004,R,TG123456-1237,F,TG123455-2231,TG123455-5477
47,TG000000-0047,Model47,TG123456-0005,R,TG123456-1238,F,TG123455-2232,TG123455-5478
48,TG000000-0048,Model48,TG123456-0006,R,TG123456-1239,F,TG123455-2233,TG123455-5479
49,TG000000-0049,Model49,TG123456-0001,F,TG123456-1234,F,TG123455-2234,TG123455-5480
50,TG000000-0050,Model50,TG123456-0002,F,TG123456-1235,F,TG123455-2235,TG123455-5481
51,TG000000-0051,Model51,TG123456-0003,F,TG123456-1236,F,TG123455-2236,TG123455-5482
52,TG000000-0052,Model52,TG123456-0004,R,TG123456-1237,F,TG123455-2237,TG123455-5483
53,TG000000-0053,Model53,TG123456-0005,F,TG123456-1238,F,TG123455-2238,TG123455-5484
54,TG000000-0054,Model54,TG123456-0006,F,TG123456-1239,F,TG123455-2239,TG123455-5485
55,TG000000-0055,Model55,TG123456-0001,R,TG123456-1234,F,TG123455-2240,TG123455-5486
56,TG000000-0056,Model56,TG123456-0002,R,TG123456-1235,F,TG123455-2241,TG123455-5487
57,TG000000-0057,Model57,TG123456-0003,R,TG123456-1236,R,TG123455-2242,TG123455-5488
58,TG000000-0058,Model58,TG123456-0004,R,TG123456-1237,R,TG123455-2243,TG123455-5489
59,TG000000-0059,Model59,TG123456-0005,F,TG123456-1238,R,TG123455-2244,TG123455-5490
