No.,Scan date,Scan time,Model,Production date,Shift,Line,Quantity
1,30-03-2026,21:07:19,Model13,30-03-2026,A/Night,32,320
2,20-02-2026,00:45:05,Model41,20-02-2026,A/Night,31,515
3,29-03-2026,03:28:17,Model47,29-03-2026,A/Night,20,320
4,15-03-2026,23:32:33,Model20,15-03-2026,A/Night,30,515
5,23-02-2026,01:17:43,Model58,23-02-2026,A/Night,33,200
6,19-04-2026,05:06:52,Model28,19-04-2026,A/Night,20,374
7,11-04-2026,22:48:19,Model52,11-04-2026,A/Night,31,676
8,17-02-2026,07:05:19,Model14,17-02-2026,A/Night,32,343
9,13-03-2026,20:36:41,Model47,13-03-2026,A/Night,30,543
10,07-03-2026,23:12:12,Model1,07-03-2026,A/Night,20,649
11,09-03-2026,20:30:17,Model28,09-03-2026,A/Night,20,669
12,27-03-2026,05:02:03,Model59,27-03-2026,A/Night,31,280
13,14-02-2026,09:50:30,Model31,14-02-2026,A/Day,20,678
14,06-04-2026,16:13:31,Model25,06-04-2026,A/Day,34,321
15,20-03-2026,17:08:09,Model19,20-03-2026,A/Day,32,692
16,12-03-2026,00:33:59,Model50,12-03-2026,A/Night,40,283
17,21-03-2026,21:00:19,Model43,21-03-2026,A/Night,40,391
18,27-02-2026,04:16:37,Model55,27-02-2026,A/Night,30,242
19,28-03-2026,18:28:13,Model7,28-03-2026,A/Day,33,646
20,04-03-2026,17:13:31,Model45,04-03-2026,A/Day,30,405
21,24-02-2026,14:35:44,Model44,24-02-2026,A/Day,31,315
22,03-02-2026,18:16:41,Model7,03-02-2026,A/Day,40,683
23,22-04-2026,13:04:56,Model41,22-04-2026,A/Day,33,370
24,29-03-2026,08:59:20,Model18,29-03-2026,A/Day,33,350
25,14-02-2026,19:20:05,Model42,14-02-2026,B/Day,40,268
26,11-02-2026,10:49:08,Model23,11-02-2026,B/Day,32,368
27,07-04-2026,12:45:30,Model44,07-04-2026,B/Day,32,470
28,31-01-2026,08:29:00,Model43,31-01-2026,B/Day,30,296
29,19-03-2026,15:24:57,Model45,19-03-2026,B/Day,30,303
30,22-04-2026,07:45:28,Model7,22-04-2026,A/Day,40,625
31,31-01-2026,18:14:55,Model25,31-01-2026,A/Day,30,203
32,16-02-2026,09:35:58,Model45,16-02-2026,A/Day,34,442
33,23-03-2026,13:03:28,Model49,23-03-2026,A/Day,40,558
34,09-02-2026,07:38:28,Model25,09-02-2026,A/Day,20,419
35,09-02-2026,15:20:58,Model31,09-02-2026,A/Day,34,438
36,22-04-2026,09:02:34,Model38,22-04-2026,A/Day,33,582
37,08-02-2026,11:20:08,Model26,08-02-2026,A/Day,33,492
38,10-02-2026,02:37:22,Model19,10-02-2026,A/Night,31,324
39,15-02-2026,20:21:08,Model29,15-02-2026,A/Night,40,362
40,08-04-2026,07:28:58,Model49,08-04-2026,A/Night,34,536
41,27-02-2026,03:51:17,Model43,27-02-2026,A/Night,33,680
42,22-04-2026,03:16:16,Model43,22-04-2026,A/Night,34,355
43,12-02-2026,04:06:34,Model27,12-02-2026,A/Night,30,430
